Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price
8-Jan-25,LAPR,Laptrust Imara Income-REIT,20,20,20,20,20,20,-,-,-,-
8-Jan-25,GLD,ABSA NewGold ETF,3000,9800,3260,3260,3260,3260,-,-,-,-
8-Jan-25,^N10I,NSE 10-Share Index,1170.1,2012.04,1340.58,1340.58,1340.58,1338.87,1.71,0.13%,-,-
8-Jan-25,^N20I,NSE 20-Share Index,1823.17,3253.85,2145.52,2145.52,2145.52,2132.26,13.26,0.62%,-,-
8-Jan-25,^N25I,NSE 25-Share Index,3063.32,5206.47,3522.61,3522.61,3522.61,3520.92,1.69,0.05%,-,-
8-Jan-25,^NASI,NSE All-Share Index,110.65,192.89,128.93,128.93,128.93,128.43,0.5,0.39%,-,-
8-Jan-25,^NBDI,NSE Bonds Index,1019.4,1197.84,1109.82,1109.82,1109.82,1109.52,0.3,0.03%,-,-
8-Jan-25,^ZKEQTK,Zamara Kenya Equity Index (KES),2283.83,4174.69,2586.9,2586.9,2586.9,2579.72,7.18,0.28%,-,-
8-Jan-25,^ZKEQTU,Zamara Kenya Equity Index (USD),1515.51,2782.05,1723.26,1723.26,1723.26,1716.49,6.77,0.39%,-,-
9-Jan-25,EGAD,Eaagads Ltd,10.8,24.1,11.65,11.65,11.65,11.65,-,-,-,-
9-Jan-25,KUKZ,Kakuzi Plc,365,440,392.5,392.5,392.5,392.5,-,-,-,-
9-Jan-25,KAPC,Kapchorua Tea Kenya Plc,198,424.25,231,233,232.75,233,-0.25,-0.11%,600,-
9-Jan-25,LIMT,Limuru Tea Plc,295,423.5,350,350,350,350,-,-,-,-
9-Jan-25,SASN,Sasini Plc,13.3,20.4,15.85,16,15.95,16,-0.05,-0.31%,21400,-
9-Jan-25,WTK,Williamson Tea Kenya Plc,160,350,220,222,221.25,222,-0.75,-0.34%,300,-
9-Jan-25,CGEN,Car and General (K) Ltd,19.5,63,24,24,24,24,-,-,-,-
9-Jan-25,ABSA,ABSA Bank Kenya Plc,14.55,26.25,17.95,19.1,18.8,18.8,-,-,7822900,-
9-Jan-25,BKG,BK Group Plc,28.75,43.5,34,35,34.95,34.9,0.05,0.14%,22500,-
9-Jan-25,COOP,Co-operative Bank of Kenya Ltd,13.5,25.2,17.15,17.8,17.35,17.8,-0.45,-2.53%,199900,-
9-Jan-25,DTK,Diamond Trust Bank Kenya Ltd,51.25,118,69,70,69.75,68.5,1.25,1.82%,10700,-
9-Jan-25,EQTY,Equity Group Holdings Plc,41.2,71,47.25,48,47.6,47.6,-,-,539600,-
9-Jan-25,HFCK,HF Group Ltd,3.32,11.4,5.3,5.82,5.38,5.3,0.08,1.51%,1932300,-
9-Jan-25,IMH,I & M Holdings Plc,28,46.2,35,35.4,35.05,35.4,-0.35,-0.99%,58000,-
9-Jan-25,KCB,KCB Group Plc,35,72.5,42.8,43,42.9,42.8,0.1,0.23%,186700,-
9-Jan-25,NCBA,NCBA Group Plc,40,100,47.5,50,49.1,49.25,-0.15,-0.30%,31100,-
9-Jan-25,SBIC,Stanbic Holdings Plc,125,202.5,156,158,156.5,156,0.5,0.32%,11900,-
9-Jan-25,SCBK,Standard Chartered Bank Kenya Ltd,232,347.5,292.5,300,293.25,302.5,-9.25,-3.06%,3500,-
9-Jan-25,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
9-Jan-25,EVRD,Eveready East Africa Ltd,0.75,1.62,1.15,1.17,1.16,1.15,0.01,0.87%,6400,-
9-Jan-25,XPRS,Express Kenya Plc,2.8,10,3.1,3.1,3.1,3.15,-0.05,-1.59%,100,-
9-Jan-25,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-
9-Jan-25,KQ,Kenya Airways Plc,1.56,9.18,5.22,5.22,5.22,4.76,0.46,9.66%,398900,-
9-Jan-25,LKL,Longhorn Publishers Plc,2.1,3.47,2.35,2.35,2.35,2.3,0.05,2.17%,31700,-
9-Jan-25,NBV,Nairobi Business Ventures Ltd,1.48,2.31,2,2.14,2.07,2,0.07,3.50%,400,-
9-Jan-25,NMG,Nation Media Group Plc,10.05,15.5,13.05,13.8,13.2,13.55,-0.35,-2.58%,92900,-
9-Jan-25,SMER,Sameer Africa Plc,2.11,17,2.6,2.6,2.6,2.75,-0.15,-5.45%,21200,-
9-Jan-25,SGL,Standard Group Plc,4.5,7.14,4.5,4.96,4.77,4.95,-0.18,-3.64%,43200,-
9-Jan-25,TPSE,TPS Eastern Africa (Serena) Ltd,13,18.7,15.5,16.5,16.25,15.45,0.8,5.18%,400,-
9-Jan-25,UCHM,Uchumi Supermarket Plc,0.16,0.48,0.16,0.18,0.17,0.17,-,-,1853000,-
9-Jan-25,SCAN,WPP ScanGroup Plc,1.8,4.02,2.7,2.9,2.74,2.71,0.03,1.11%,20800,-
